EVENTS,ShadowCacheUsageMB,DynamicTranslucencyResolution,DynamicNaniteScalingShadow,DynamicNaniteScalingPrimary,ShadowCacheUsageMB,ShadowCacheUsageMB,DrawSceneCommand_StartDelay,GPUSceneInstanceCount,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,TransientResourceCreateCount,TransientMemoryUsedMB,TransientMemoryAliasedMB,RHI/DrawCalls,RHI/PrimitivesDrawn,RenderThreadTime,GameThreadTime,GPUTime,RenderThreadTime_CriticalPath,RHIThreadTime,MemoryFreeMB,MaxFrameTime,FrameTime,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,CPUUsage_Process,CPUUsage_Idle,ShadowCacheUsageMB,ShadowCacheUsageMB,ShadowCacheUsageMB
,0,-100,-100,-100,0,0,7.9880,4879371,598.4805,569.7930,55,0,512,128,2900,1817150,10.7406,12.9641,13.9374,19.2874,15.7970,7313.7500,33.3333,19.3243,4328.2148,8310.0312,0,11641.9648,0.2221,0.064526,0,0,0
,0,-100,-100,-100,0,0,8.1245,4879371,598.4805,598.3555,55,0,512,128,2889,1817134,10.7937,12.7927,13.5348,18.6380,13.0933,7316.8594,33.3333,18.6204,4327.1914,8309.0977,0,11644.0508,0.2280,0.090741,0,0,0
,0,-100,-100,-100,0,0,12.3035,4879371,598.4805,598.3555,55,0,512,128,2899,1817146,10.2787,12.6608,14.4996,22.8043,14.2011,7318.3359,33.3333,22.8115,4327.5742,8309.4766,0,11645.9102,0.1978,0.1329,0,0,0
,0,-100,-100,-100,0,0,8.0721,4879371,598.4805,569.7930,55,0,512,128,2900,1817150,10.7913,12.7186,13.8343,18.7868,13.9917,7315.8984,33.3333,18.7682,4325.6406,8307.5156,0,11641.5391,0.2257,0.089552,0,0,0
,0,-100,-100,-100,0,0,8.0736,4879371,598.4805,569.7930,55,0,512,128,2889,1817194,10.6102,12.2559,13.2177,18.1637,12.9004,7318.6133,33.3333,18.2151,4325.2031,8307.0547,0,11643.8164,0.2303,0.098940,0,0,0
,0,-100,-100,-100,0,0,9.2678,4879371,598.4805,598.3555,55,0,512,128,2899,1817174,10.3745,12.4226,13.7762,19.9025,13.6835,7317.9258,33.3333,19.8911,4326.8633,8308.7305,0,11644.7891,0.2111,0.1200,0,0,0
,0,-100,-100,-100,0,0,10.4291,4879371,598.4805,598.3555,55,0,512,128,2912,1817200,10.4237,11.4102,14.5856,19.9487,12.4993,7317.9258,33.3333,19.9328,4327.1914,8309.0664,0,11645.1172,0.2089,0.1226,0,0,0
,0,-100,-100,-100,0,0,8.0862,4879371,598.4805,598.3555,55,0,512,128,2889,1817178,9.3603,11.9632,13.5831,18.4712,13.2403,7317.9258,33.3333,18.5035,4327.3789,8309.2539,0,11645.3047,0.2222,0.1087,0,0,0
,0,-100,-100,-100,0,0,10.4069,4879371,598.4805,569.7930,55,0,512,128,2899,1817182,10.0433,11.9983,14.5139,20.5560,15.0424,7315.2227,33.3333,20.5737,4327.3789,8309.3438,0,11642.6016,0.2027,0.1013,0,0,0
,0,-100,-100,-100,0,0,8.2488,4879371,598.4805,598.3555,55,0,512,128,2900,1817188,10.6723,11.3477,14.2588,17.2540,13.6879,7317.2891,33.3333,17.1972,4325.8633,8307.7656,0,11643.1523,0.2431,0.080529,0,0,0
